worker_id,paid,task_name,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,document_id,document_index,Reliability_value,Reliability_label,Reliability_index,Reliability_description,Neutrality_value,Neutrality_label,Neutrality_index,Neutrality_description,Precision_value,Precision_label,Precision_index,Precision_description,Completeness_value,Completeness_label,Completeness_index,Completeness_description,Informativeness_value,Informativeness_label,Informativeness_index,Informativeness_description,Confidence_value,Confidence_justification,time_start,time_end,time_elapsed,time_start_parsed,time_end_parsed,accesses,global_outcome,global_form_validity,gold_checks,time_spent_check
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,1,Next,"Tue, 16 Jan 2024 09:38:22 GMT",2024-01-16 09:38:22 00:00,B015XC3B46,0,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,1,partially-agree:,3.0,"the review is mostly precise, with some specific details",0,neutral:,2.0,the completeness of the review cannot be definitively determined,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",50.0,"la recensione specifica in dettaglio alcune caratteristiche/criticità del prodotto, tuttavia non esaustive per comprendere con assoluta certezza il suo fonzionamento/qualità",1705397765.62,1705397902.69,137.07,2024-01-16 09:36:05,2024-01-16 09:38:22,1,True,True,True,True
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,1,Next,"Tue, 16 Jan 2024 09:41:43 GMT",2024-01-16 09:41:43 00:00,B0002KMHD6,1,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,0,neutral:,2.0,the neutrality of the review cannot be definitively determined,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",65.0,"la recensione è molto soggettiva e spiega molto in dettaglio l'esperienza dell'utente, che è rimasto soddisfatto del prodotto",1705397902.69,1705398103.7,201.0,2024-01-16 09:38:22,2024-01-16 09:41:43,1,True,True,True,True
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,1,Next,"Tue, 16 Jan 2024 09:43:01 GMT",2024-01-16 09:43:01 00:00,B00006JN5L,2,1,partially-agree:,3.0,the review is mostly reliable,0,neutral:,2.0,the neutrality of the review cannot be definitively determined,0,neutral:,2.0,the review's precision cannot be definitively determined,0,neutral:,2.0,the completeness of the review cannot be definitively determined,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",39.0,"la recensione è molto sintetica, tuttavia si percepisce come l'utente sia rimasto contento del prodotto, anche se però non presenta descrizioni e motivazioni dettagliate",1705398103.7,1705398181.76,78.06,2024-01-16 09:41:43,2024-01-16 09:43:01,1,True,True,True,True
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,1,Next,"Tue, 16 Jan 2024 09:44:45 GMT",2024-01-16 09:44:45 00:00,B0001DHQPI,3,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",68.0,"la recensione è molto descrittiva e completa su diversi fronti (audio, grafica, equipment, ecc.) e fa capire come l'utente sia rimasto soddisfatto",1705398181.76,1705398285.82,104.07,2024-01-16 09:43:01,2024-01-16 09:44:45,1,True,True,True,True
7GFH0CXPHPTSPX,True,task1,batch1,unit_1,1,1,Finish,"Tue, 16 Jan 2024 09:45:59 GMT",2024-01-16 09:45:59 00:00,B001DYVHY0,4,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,2,-completely-agree:,4.0,"the review is entirely neutral, expressed objectively without bias",1,partially-agree:,3.0,"the review is mostly precise, with some specific details",1,partially-agree:,3.0,the review is mostly complete in providing necessary details,2,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",72.0,la recensione è fatta bene e comprende dettagli e consigli da parte dell'utente (consigliato a età >16),1705398285.82,1705398358.86,73.03,2024-01-16 09:44:45,2024-01-16 09:45:58,1,True,True,True,True
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:08:04 GMT",2024-01-16 15:08:04 00:00,B003TO59D2,0,0,neutral:,2.0,the review's reliability cannot be definitively determined,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,-1,partially-disagree:,1.0,the review contains some imprecise details and vagueness,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",70.0,"Non è chiara la recensione, quindi mi baso solo su quello che ho letto",1705417465.7,1705417684.55,218.85,2024-01-16 15:04:25,2024-01-16 15:08:04,1,True,True,True,True
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:10:18 GMT",2024-01-16 15:10:18 00:00,B00PNVOBTC,1,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,1,partially-agree:,3.0,"the review is mostly precise, with some specific details",1,partially-agree:,3.0,the review is mostly complete in providing necessary details,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",90.0,La recensione sembra ben scritta e ha dei termini che sono attinenti al mondo videoludico,1705417684.55,1705417818.33,133.78,2024-01-16 15:08:04,2024-01-16 15:10:18,1,True,True,True,True
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:12:37 GMT",2024-01-16 15:12:37 00:00,B0029MAXR2,2,0,neutral:,2.0,the review's reliability cannot be definitively determined,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,1,partially-agree:,3.0,"the review is mostly precise, with some specific details",2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",90.0,La recensione è troppo lunga e piena di elementi inutili e soggettivi,1705417818.33,1705417957.46,139.12,2024-01-16 15:10:18,2024-01-16 15:12:37,1,True,True,True,True
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:15:59 GMT",2024-01-16 15:15:59 00:00,B0041RUM0Q,3,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",71.0,Il prodotto sembra ben recensito in termini di oggettività e veridicità,1705417957.46,1705418159.78,202.32,2024-01-16 15:12:37,2024-01-16 15:15:59,1,True,True,True,True
B0ARNFCRSNEXAS,True,task1,batch1,unit_5,1,1,Finish,"Tue, 16 Jan 2024 15:17:14 GMT",2024-01-16 15:17:14 00:00,B000O39U3Q,4,1,partially-agree:,3.0,the review is mostly reliable,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,-2,-completely-disagree:,0.0,the review provides imprecise and vague information,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",83.0,La recensione è molto vaga e non entra nei particolari per poter definire il prodotto,1705418159.78,1705418234.46,74.68,2024-01-16 15:15:59,2024-01-16 15:17:14,1,True,True,True,True
